seq	abundance	similarity
M00967_43_000000000-A3JHG_1_1110_24085_17717	95	100
M00967_43_000000000-A3JHG_1_1108_22015_4716	1	1100
M00967_43_000000000-A3JHG_1_2103_5332_19530	1	195
M00967_43_000000000-A3JHG_1_1109_12057_17922	1	38
M00967_43_000000000-A3JHG_1_2107_29216_16478	1	1313
M00967_43_000000000-A3JHG_1_1101_10059_2828	1	404
M00967_43_000000000-A3JHG_1_2105_8906_6938	1	192
M00967_43_000000000-A3JHG_1_1105_9600_21809	1	1415
M00967_43_000000000-A3JHG_1_2109_22554_10470	1	992
M00967_43_000000000-A3JHG_1_1114_28453_11248	1	779
M00967_43_000000000-A3JHG_1_2108_15410_1415	1	0
M00967_43_000000000-A3JHG_1_2101_21488_4101	1	240
M00967_43_000000000-A3JHG_1_2111_22453_20305	1	47
M00967_43_000000000-A3JHG_1_2101_4864_14534	1	714
M00967_43_000000000-A3JHG_1_2109_17173_13798	3	1207
M00967_43_000000000-A3JHG_1_1109_14818_7089	1	41
M00967_43_000000000-A3JHG_1_1108_11597_6683	1	430
M00967_43_000000000-A3JHG_1_2111_21414_24246	1	7
M00967_43_000000000-A3JHG_1_1114_7480_6967	1	442
M00967_43_000000000-A3JHG_1_2103_20622_15921	1	203
M00967_43_000000000-A3JHG_1_2104_26091_11274	1	406
M00967_43_000000000-A3JHG_1_2112_28774_10953	1	815
M00967_43_000000000-A3JHG_1_1101_4210_13071	1	952
M00967_43_000000000-A3JHG_1_2108_18337_14394	1	197
M00967_43_000000000-A3JHG_1_2112_23709_11102	1	77
M00967_43_000000000-A3JHG_1_1113_12151_7339	1	82
M00967_43_000000000-A3JHG_1_2113_5618_8925	1	90
M00967_43_000000000-A3JHG_1_1111_15381_9274	1	111
M00967_43_000000000-A3JHG_1_2114_21062_10094	1	109
M00967_43_000000000-A3JHG_1_2108_11492_22552	1	69
M00967_43_000000000-A3JHG_1_1103_25025_18661	3	1429
M00967_43_000000000-A3JHG_1_1106_27836_8665	1	104
M00967_43_000000000-A3JHG_1_1109_9247_6156	1	935
M00967_43_000000000-A3JHG_1_2106_12889_10476	1	158
M00967_43_000000000-A3JHG_1_1101_9056_26771	1	506
M00967_43_000000000-A3JHG_1_1113_28581_14676	12	49
M00967_43_000000000-A3JHG_1_1101_10154_6988	1	46
M00967_43_000000000-A3JHG_1_1105_11466_4669	1	101
M00967_43_000000000-A3JHG_1_2102_10108_16105	1	98
M00967_43_000000000-A3JHG_1_2103_17398_4864	1	48
M00967_43_000000000-A3JHG_1_2104_14772_12193	1	52
M00967_43_000000000-A3JHG_1_1114_15773_20065	1	221
M00967_43_000000000-A3JHG_1_2109_13064_24163	1	389
M00967_43_000000000-A3JHG_1_2107_13744_7497	1	836
M00967_43_000000000-A3JHG_1_1105_10664_10613	1	41
M00967_43_000000000-A3JHG_1_2107_16626_24319	4	90
M00967_43_000000000-A3JHG_1_2102_25911_8881	1	180
M00967_43_000000000-A3JHG_1_2111_15506_29081	1	912
M00967_43_000000000-A3JHG_1_2110_16863_27278	1	52
M00967_43_000000000-A3JHG_1_1113_28758_16645	1	219
M00967_43_000000000-A3JHG_1_1106_11638_5955	1	96
M00967_43_000000000-A3JHG_1_2109_15805_22291	4	126
M00967_43_000000000-A3JHG_1_1101_18385_16565	2	245
M00967_43_000000000-A3JHG_1_2110_11506_2807	1	814
M00967_43_000000000-A3JHG_1_2111_27310_11091	1	21
M00967_43_000000000-A3JHG_1_2106_19290_19321	1	41
M00967_43_000000000-A3JHG_1_2110_11811_16742	1	361
M00967_43_000000000-A3JHG_1_1113_7041_12506	29	1122
M00967_43_000000000-A3JHG_1_1114_8874_11903	1	894
M00967_43_000000000-A3JHG_1_2107_12717_18568	1	1391
M00967_43_000000000-A3JHG_1_1114_17344_4838	1	984
M00967_43_000000000-A3JHG_1_1101_11022_2710	1	1124
M00967_43_000000000-A3JHG_1_2106_24844_24898	9	919
M00967_43_000000000-A3JHG_1_1108_18274_21766	1	1176
M00967_43_000000000-A3JHG_1_1104_17018_23369	1	98
M00967_43_000000000-A3JHG_1_1103_2838_15693	1	298
M00967_43_000000000-A3JHG_1_1112_19030_20513	2	35
M00967_43_000000000-A3JHG_1_1104_10074_9542	1	14
M00967_43_000000000-A3JHG_1_2104_22108_24115	1	64
M00967_43_000000000-A3JHG_1_2105_18451_9439	1	34
M00967_43_000000000-A3JHG_1_1106_23035_16567	1	554
M00967_43_000000000-A3JHG_1_2105_4957_11622	1	341
M00967_43_000000000-A3JHG_1_2112_21019_6342	1	1245
M00967_43_000000000-A3JHG_1_1109_11657_23921	1	425
M00967_43_000000000-A3JHG_1_1114_6721_13014	1	1070
M00967_43_000000000-A3JHG_1_2110_15071_10133	1	50
M00967_43_000000000-A3JHG_1_2111_14988_21891	1	84
M00967_43_000000000-A3JHG_1_1106_11431_22040	1	826
M00967_43_000000000-A3JHG_1_1104_24225_23583	1	301
M00967_43_000000000-A3JHG_1_1111_14408_11943	1	2
M00967_43_000000000-A3JHG_1_1109_15689_11352	1	179
M00967_43_000000000-A3JHG_1_1105_8442_8518	2	52
M00967_43_000000000-A3JHG_1_1112_20523_11095	1	89
M00967_43_000000000-A3JHG_1_1110_24034_4375	14	45
M00967_43_000000000-A3JHG_1_2106_12579_7732	1	1390
M00967_43_000000000-A3JHG_1_1106_10997_4315	1	1218
M00967_43_000000000-A3JHG_1_1113_27580_13168	1	254
M00967_43_000000000-A3JHG_1_2103_26975_11754	1	573
M00967_43_000000000-A3JHG_1_1101_11922_15329	1	31
M00967_43_000000000-A3JHG_1_1105_13573_4660	8	1451
M00967_43_000000000-A3JHG_1_1107_12629_7617	1	419
M00967_43_000000000-A3JHG_1_1103_4057_8002	1	40
M00967_43_000000000-A3JHG_1_2107_10600_25950	1	148
M00967_43_000000000-A3JHG_1_1112_23348_20334	1	0
M00967_43_000000000-A3JHG_1_1101_15925_21883	1	0
M00967_43_000000000-A3JHG_1_1112_22437_12957	1	822
M00967_43_000000000-A3JHG_1_1102_18652_27626	1	718
M00967_43_000000000-A3JHG_1_2110_17557_24025	1	1395
M00967_43_000000000-A3JHG_1_2114_16688_2148	2	39
