seq	abundance	similarity
M00967_43_000000000-A3JHG_1_1113_17544_26115	1	471
M00967_43_000000000-A3JHG_1_1105_24533_12281	2	122
M00967_43_000000000-A3JHG_1_1104_9577_20376	1	35
M00967_43_000000000-A3JHG_1_1113_16233_22761	1	1448
M00967_43_000000000-A3JHG_1_2101_26067_9671	1	73
M00967_43_000000000-A3JHG_1_2109_15932_21678	1	1089
M00967_43_000000000-A3JHG_1_1108_4275_10317	1	985
M00967_43_000000000-A3JHG_1_2111_21488_15473	1	22
M00967_43_000000000-A3JHG_1_1111_22245_25479	1	62
M00967_43_000000000-A3JHG_1_1114_29072_16559	1	83
M00967_43_000000000-A3JHG_1_1109_16182_18246	4	495
M00967_43_000000000-A3JHG_1_1113_28635_19761	1	349
M00967_43_000000000-A3JHG_1_1103_12160_18996	1	54
M00967_43_000000000-A3JHG_1_2110_13105_3015	1	1514
M00967_43_000000000-A3JHG_1_1110_17801_19580	1	54
M00967_43_000000000-A3JHG_1_2108_15377_22765	1	187
M00967_43_000000000-A3JHG_1_1108_15706_1613	2	385
M00967_43_000000000-A3JHG_1_1112_13906_15002	1	211
M00967_43_000000000-A3JHG_1_1107_19769_20518	1	1412
M00967_43_000000000-A3JHG_1_1113_23464_17326	1	86
M00967_43_000000000-A3JHG_1_1101_7389_6913	661	30
M00967_43_000000000-A3JHG_1_1104_14801_15067	1	5
M00967_43_000000000-A3JHG_1_2104_6333_14679	1	1383
M00967_43_000000000-A3JHG_1_1108_25668_24251	1	75
M00967_43_000000000-A3JHG_1_1105_8440_22772	1	31
M00967_43_000000000-A3JHG_1_1112_14159_25859	5	57
M00967_43_000000000-A3JHG_1_1112_10660_27322	1	1436
M00967_43_000000000-A3JHG_1_1112_26031_23492	1	86
M00967_43_000000000-A3JHG_1_2111_11076_21304	1	974
M00967_43_000000000-A3JHG_1_1108_8938_25818	1	106
M00967_43_000000000-A3JHG_1_1107_19312_24230	73	769
M00967_43_000000000-A3JHG_1_2112_10007_14819	1	79
M00967_43_000000000-A3JHG_1_2101_20381_10209	1	65
M00967_43_000000000-A3JHG_1_1104_18852_7565	1	646
M00967_43_000000000-A3JHG_1_1105_4500_14660	1	1053
M00967_43_000000000-A3JHG_1_1109_16491_8580	1	65
M00967_43_000000000-A3JHG_1_2112_21658_15674	1	89
M00967_43_000000000-A3JHG_1_1113_18411_17001	4	485
M00967_43_000000000-A3JHG_1_2114_25664_8813	1	81
M00967_43_000000000-A3JHG_1_1102_8545_5888	1	29
M00967_43_000000000-A3JHG_1_1106_27822_19212	2	373
M00967_43_000000000-A3JHG_1_1102_13349_23732	1	150
M00967_43_000000000-A3JHG_1_2102_23119_18732	1	25
M00967_43_000000000-A3JHG_1_2106_21803_26354	1	952
M00967_43_000000000-A3JHG_1_2111_12338_23302	1	66
M00967_43_000000000-A3JHG_1_1112_12473_20145	1	385
M00967_43_000000000-A3JHG_1_2102_25179_15629	1	634
M00967_43_000000000-A3JHG_1_2102_7532_15593	1	19
M00967_43_000000000-A3JHG_1_2111_10853_25160	1	1391
M00967_43_000000000-A3JHG_1_1106_25661_10487	1	391
M00967_43_000000000-A3JHG_1_1112_11165_15409	1	67
M00967_43_000000000-A3JHG_1_1109_21513_9775	1	54
M00967_43_000000000-A3JHG_1_1110_28910_16571	1	175
M00967_43_000000000-A3JHG_1_1112_25502_18760	3	41
M00967_43_000000000-A3JHG_1_1109_11434_12793	1	987
M00967_43_000000000-A3JHG_1_1105_10448_27189	1	469
M00967_43_000000000-A3JHG_1_2110_12775_18633	6	48
M00967_43_000000000-A3JHG_1_2111_28128_9313	1	16
M00967_43_000000000-A3JHG_1_2106_9836_6933	6	550
M00967_43_000000000-A3JHG_1_1110_20287_3315	1	32
M00967_43_000000000-A3JHG_1_2104_12550_22992	3	1403
M00967_43_000000000-A3JHG_1_1108_5036_10630	1	10
M00967_43_000000000-A3JHG_1_1112_13752_4227	1	52
M00967_43_000000000-A3JHG_1_1101_6859_23888	1	56
M00967_43_000000000-A3JHG_1_2104_17292_3239	1	487
M00967_43_000000000-A3JHG_1_1102_19340_18432	1	80
M00967_43_000000000-A3JHG_1_1101_25374_5844	1	32
M00967_43_000000000-A3JHG_1_1111_28537_19265	2	41
M00967_43_000000000-A3JHG_1_2101_11096_14978	79	61
M00967_43_000000000-A3JHG_1_1106_5951_19471	1	66
M00967_43_000000000-A3JHG_1_2104_16968_21013	1	53
M00967_43_000000000-A3JHG_1_1105_9050_25130	1	261
M00967_43_000000000-A3JHG_1_2109_23463_10946	1	34
M00967_43_000000000-A3JHG_1_1108_22312_11107	2	196
M00967_43_000000000-A3JHG_1_1113_16863_25787	1	232
M00967_43_000000000-A3JHG_1_1105_10583_23662	1	93
M00967_43_000000000-A3JHG_1_2114_19341_14953	2	128
M00967_43_000000000-A3JHG_1_1106_17691_26464	1	21
M00967_43_000000000-A3JHG_1_1105_9140_13492	1	156
M00967_43_000000000-A3JHG_1_1113_10218_10339	1	1063
M00967_43_000000000-A3JHG_1_2112_20668_11591	1	1408
M00967_43_000000000-A3JHG_1_1103_13435_26359	1	28
M00967_43_000000000-A3JHG_1_1112_16166_2199	1	51
M00967_43_000000000-A3JHG_1_1114_9630_22648	1	32
M00967_43_000000000-A3JHG_1_2114_17732_25835	1	89
M00967_43_000000000-A3JHG_1_1111_7843_17763	1	95
M00967_43_000000000-A3JHG_1_1111_24753_18538	1	1212
M00967_43_000000000-A3JHG_1_1103_22351_27016	1	28
M00967_43_000000000-A3JHG_1_1113_7471_4528	1	41
M00967_43_000000000-A3JHG_1_1111_15735_6405	1	787
M00967_43_000000000-A3JHG_1_2109_12163_4647	1	38
M00967_43_000000000-A3JHG_1_1111_24249_19196	1	61
M00967_43_000000000-A3JHG_1_1111_14276_5304	1	125
M00967_43_000000000-A3JHG_1_2111_11734_24591	2	38
M00967_43_000000000-A3JHG_1_1110_9623_25241	1	37
M00967_43_000000000-A3JHG_1_1102_8242_5111	1	105
M00967_43_000000000-A3JHG_1_1108_26869_15435	1	26
M00967_43_000000000-A3JHG_1_2108_14526_3765	1	1410
M00967_43_000000000-A3JHG_1_1103_9207_24906	2	104
M00967_43_000000000-A3JHG_1_1108_14824_4739	1	115
M00967_43_000000000-A3JHG_1_1104_12984_7401	1	77
M00967_43_000000000-A3JHG_1_1110_11890_7883	3	1395
M00967_43_000000000-A3JHG_1_2111_10749_3301	1	833
M00967_43_000000000-A3JHG_1_1113_20354_2531	1	932
M00967_43_000000000-A3JHG_1_1114_27832_12535	1	95
M00967_43_000000000-A3JHG_1_2109_27506_12254	1	6
M00967_43_000000000-A3JHG_1_2103_20654_24817	1	854
M00967_43_000000000-A3JHG_1_2111_15490_6626	5	789
M00967_43_000000000-A3JHG_1_1102_20647_26962	1	61
M00967_43_000000000-A3JHG_1_1109_10952_14991	2	55
M00967_43_000000000-A3JHG_1_1114_4717_11331	1	416
M00967_43_000000000-A3JHG_1_2111_18697_14557	1	735
M00967_43_000000000-A3JHG_1_1105_25952_11739	1	491
M00967_43_000000000-A3JHG_1_1103_15905_15304	1	65
M00967_43_000000000-A3JHG_1_2111_29043_13633	1	119
M00967_43_000000000-A3JHG_1_2105_11406_18319	1	56
M00967_43_000000000-A3JHG_1_1103_15137_26382	1	17
M00967_43_000000000-A3JHG_1_1103_9587_12082	1	45
M00967_43_000000000-A3JHG_1_2108_25500_18855	1	759
M00967_43_000000000-A3JHG_1_1106_16616_20877	1	394
M00967_43_000000000-A3JHG_1_2102_16774_25223	1	891
M00967_43_000000000-A3JHG_1_1107_22662_14456	1	16
M00967_43_000000000-A3JHG_1_1101_9154_10268	522	40
M00967_43_000000000-A3JHG_1_2104_20169_11890	1	25
M00967_43_000000000-A3JHG_1_2111_3588_20763	1	953
M00967_43_000000000-A3JHG_1_1104_15832_3129	1	478
M00967_43_000000000-A3JHG_1_1105_13862_27482	1	1148
M00967_43_000000000-A3JHG_1_2102_25617_15725	1	0
M00967_43_000000000-A3JHG_1_2111_25184_23507	1	53
M00967_43_000000000-A3JHG_1_2102_12876_24628	2	1423
M00967_43_000000000-A3JHG_1_1103_26011_18276	1	141
M00967_43_000000000-A3JHG_1_1101_13456_9826	1	0
M00967_43_000000000-A3JHG_1_2107_15676_6625	1	1471
M00967_43_000000000-A3JHG_1_1102_22955_21067	1	18
M00967_43_000000000-A3JHG_1_2101_10214_9100	1	66
M00967_43_000000000-A3JHG_1_2101_9503_21009	2	1394
M00967_43_000000000-A3JHG_1_1106_19734_26491	1	159
M00967_43_000000000-A3JHG_1_1114_13497_24215	1	124
M00967_43_000000000-A3JHG_1_2114_21999_14549	1	97
M00967_43_000000000-A3JHG_1_1110_22017_12338	2	0
M00967_43_000000000-A3JHG_1_1106_11990_24478	1	309
M00967_43_000000000-A3JHG_1_2109_11661_21328	1	302
M00967_43_000000000-A3JHG_1_2103_16319_7131	5	68
M00967_43_000000000-A3JHG_1_2105_7787_8707	1	1410
M00967_43_000000000-A3JHG_1_2111_28071_11633	2	56
M00967_43_000000000-A3JHG_1_1110_16194_12283	1	82
M00967_43_000000000-A3JHG_1_2101_7128_12917	2	489
M00967_43_000000000-A3JHG_1_1105_11891_18265	1	40
M00967_43_000000000-A3JHG_1_1114_8198_6530	1	1386
M00967_43_000000000-A3JHG_1_1101_4551_19705	33	432
M00967_43_000000000-A3JHG_1_1111_25629_12009	2	187
M00967_43_000000000-A3JHG_1_1103_16237_10222	1	47
M00967_43_000000000-A3JHG_1_1112_13360_18410	1	1078
M00967_43_000000000-A3JHG_1_2104_18914_5783	4	464
M00967_43_000000000-A3JHG_1_1108_27113_8949	2	433
M00967_43_000000000-A3JHG_1_1111_12647_21361	1	919
M00967_43_000000000-A3JHG_1_2101_22618_7437	8	461
M00967_43_000000000-A3JHG_1_1105_24553_11256	1	86
M00967_43_000000000-A3JHG_1_2112_21691_4194	1	55
M00967_43_000000000-A3JHG_1_2111_8961_10475	2	62
M00967_43_000000000-A3JHG_1_2107_22004_7724	1	29
M00967_43_000000000-A3JHG_1_1101_14030_17258	1	35
M00967_43_000000000-A3JHG_1_1109_19145_22772	1	44
M00967_43_000000000-A3JHG_1_2103_8297_17362	1	1430
M00967_43_000000000-A3JHG_1_2110_15359_18841	1	361
M00967_43_000000000-A3JHG_1_1109_9255_11020	1	33
M00967_43_000000000-A3JHG_1_2108_19952_10105	6	216
M00967_43_000000000-A3JHG_1_1106_19145_21769	1	156
M00967_43_000000000-A3JHG_1_2107_10708_4644	2	866
M00967_43_000000000-A3JHG_1_1102_18285_7258	1	114
M00967_43_000000000-A3JHG_1_1105_7160_13740	1	311
M00967_43_000000000-A3JHG_1_2102_13237_21704	2	1203
M00967_43_000000000-A3JHG_1_1105_16574_14161	1	46
M00967_43_000000000-A3JHG_1_2112_22833_5622	2	181
M00967_43_000000000-A3JHG_1_1110_9171_21677	3	220
M00967_43_000000000-A3JHG_1_2105_29220_16990	1	60
M00967_43_000000000-A3JHG_1_1110_21538_17471	1	0
M00967_43_000000000-A3JHG_1_1112_19481_13488	1	1261
M00967_43_000000000-A3JHG_1_2114_20216_27116	1	1421
M00967_43_000000000-A3JHG_1_1113_26686_9321	1	132
M00967_43_000000000-A3JHG_1_2113_8173_13493	1	48
M00967_43_000000000-A3JHG_1_2103_5549_7641	1	60
M00967_43_000000000-A3JHG_1_1109_27511_18686	1	28
M00967_43_000000000-A3JHG_1_1103_12899_18586	1	224
M00967_43_000000000-A3JHG_1_1112_11609_2068	1	1260
M00967_43_000000000-A3JHG_1_2107_20801_13875	1	55
M00967_43_000000000-A3JHG_1_1105_20893_24481	1	14
M00967_43_000000000-A3JHG_1_1101_21134_10278	1261	1666
M00967_43_000000000-A3JHG_1_2114_15218_11527	1	1215
M00967_43_000000000-A3JHG_1_2111_20109_21042	1	53
M00967_43_000000000-A3JHG_1_1109_28413_21034	1	74
M00967_43_000000000-A3JHG_1_1111_15808_15374	1	61
M00967_43_000000000-A3JHG_1_1110_21872_7473	1	67
M00967_43_000000000-A3JHG_1_2106_12356_18728	1	122
M00967_43_000000000-A3JHG_1_1104_21547_19677	1	422
M00967_43_000000000-A3JHG_1_1113_19325_28497	1	396
M00967_43_000000000-A3JHG_1_1107_22735_18239	1	883
M00967_43_000000000-A3JHG_1_2107_11403_9393	1	114
M00967_43_000000000-A3JHG_1_1107_26203_14953	1	48
M00967_43_000000000-A3JHG_1_1108_20226_7803	1	25
M00967_43_000000000-A3JHG_1_2101_26706_7767	1	889
M00967_43_000000000-A3JHG_1_2114_10369_26730	2	86
M00967_43_000000000-A3JHG_1_1114_27588_15272	1	32
M00967_43_000000000-A3JHG_1_2110_11277_20766	1	144
M00967_43_000000000-A3JHG_1_1111_27098_21166	1	95
M00967_43_000000000-A3JHG_1_2108_6720_17234	1	261
M00967_43_000000000-A3JHG_1_1107_25029_20354	1	1407
M00967_43_000000000-A3JHG_1_1110_15820_3564	1	197
M00967_43_000000000-A3JHG_1_1113_16049_14955	1	810
M00967_43_000000000-A3JHG_1_2114_8683_19934	1	54
M00967_43_000000000-A3JHG_1_1104_13422_19906	1	85
M00967_43_000000000-A3JHG_1_1111_11904_8214	1	1400
M00967_43_000000000-A3JHG_1_1102_8293_16722	253	22
M00967_43_000000000-A3JHG_1_1112_20563_14304	1	48
M00967_43_000000000-A3JHG_1_2113_16912_27885	1	692
M00967_43_000000000-A3JHG_1_2108_15948_12608	1	102
M00967_43_000000000-A3JHG_1_2102_10546_6064	2	36
M00967_43_000000000-A3JHG_1_2110_17809_23790	1	93
M00967_43_000000000-A3JHG_1_2104_21496_13259	1	23
M00967_43_000000000-A3JHG_1_1104_13858_24533	1	780
M00967_43_000000000-A3JHG_1_1112_6729_24125	1	53
M00967_43_000000000-A3JHG_1_1104_15448_10397	2	109
M00967_43_000000000-A3JHG_1_2111_28385_18114	1	490
M00967_43_000000000-A3JHG_1_2106_11030_17144	1	39
M00967_43_000000000-A3JHG_1_2113_13799_21321	1	29
M00967_43_000000000-A3JHG_1_2101_21051_6478	1	34
M00967_43_000000000-A3JHG_1_2108_24830_17094	1	91
M00967_43_000000000-A3JHG_1_2114_19443_18086	1	222
M00967_43_000000000-A3JHG_1_2110_27875_13114	1	1173
M00967_43_000000000-A3JHG_1_2112_29245_18322	1	990
M00967_43_000000000-A3JHG_1_1106_16258_22386	1	19
M00967_43_000000000-A3JHG_1_1110_21564_12897	1	988
M00967_43_000000000-A3JHG_1_1110_23233_13614	5	149
M00967_43_000000000-A3JHG_1_1103_13442_15311	1	108
M00967_43_000000000-A3JHG_1_1101_16589_20125	2	716
M00967_43_000000000-A3JHG_1_1106_26757_13022	1	40
M00967_43_000000000-A3JHG_1_2107_11837_13700	1	61
M00967_43_000000000-A3JHG_1_2102_5898_12107	1	63
M00967_43_000000000-A3JHG_1_1112_9609_11307	1	3
M00967_43_000000000-A3JHG_1_2105_22737_19326	1	50
M00967_43_000000000-A3JHG_1_1107_10370_3207	1	57
M00967_43_000000000-A3JHG_1_1105_8988_3662	1	1204
M00967_43_000000000-A3JHG_1_2109_23892_5371	1	82
M00967_43_000000000-A3JHG_1_2107_21131_7266	2	29
M00967_43_000000000-A3JHG_1_1111_24207_14769	131	168
M00967_43_000000000-A3JHG_1_1103_11943_23230	1	97
M00967_43_000000000-A3JHG_1_2102_26746_18662	2	45
M00967_43_000000000-A3JHG_1_1103_2834_15475	1	3
M00967_43_000000000-A3JHG_1_2106_20202_12070	1	549
M00967_43_000000000-A3JHG_1_2108_23844_22479	1	543
M00967_43_000000000-A3JHG_1_1108_8697_24247	1	0
M00967_43_000000000-A3JHG_1_1104_20221_20230	1	105
M00967_43_000000000-A3JHG_1_2113_20892_21188	1	16
M00967_43_000000000-A3JHG_1_1113_12878_19627	7	103
M00967_43_000000000-A3JHG_1_1107_26496_22198	1	954
M00967_43_000000000-A3JHG_1_2109_25097_11960	1	30
M00967_43_000000000-A3JHG_1_1106_24002_17595	1	714
M00967_43_000000000-A3JHG_1_2101_6237_12756	1	0
M00967_43_000000000-A3JHG_1_1103_28539_13527	1	84
M00967_43_000000000-A3JHG_1_2114_13373_7216	1	821
M00967_43_000000000-A3JHG_1_2108_20488_19649	1	550
M00967_43_000000000-A3JHG_1_1114_5452_21709	1	27
M00967_43_000000000-A3JHG_1_1111_14242_5987	1	45
M00967_43_000000000-A3JHG_1_1107_5239_12510	1	16
M00967_43_000000000-A3JHG_1_1104_4028_9591	1	1254
M00967_43_000000000-A3JHG_1_2105_12577_18759	1	17
M00967_43_000000000-A3JHG_1_2103_21630_24037	1	0
M00967_43_000000000-A3JHG_1_2110_14572_3546	1	103
M00967_43_000000000-A3JHG_1_2108_23896_11318	1	43
M00967_43_000000000-A3JHG_1_1111_20976_20610	1	56
M00967_43_000000000-A3JHG_1_2112_19330_25277	1	57
M00967_43_000000000-A3JHG_1_2111_15959_21371	1	540
M00967_43_000000000-A3JHG_1_2106_25605_18672	2	1057
M00967_43_000000000-A3JHG_1_2114_7773_25459	1	21
M00967_43_000000000-A3JHG_1_1106_5865_10427	1	53
M00967_43_000000000-A3JHG_1_1109_21132_4482	1	740
M00967_43_000000000-A3JHG_1_1114_19795_28223	1	1409
M00967_43_000000000-A3JHG_1_1109_4891_13509	6	65
M00967_43_000000000-A3JHG_1_2114_5785_22520	1	70
M00967_43_000000000-A3JHG_1_2109_23328_23351	1	1207
M00967_43_000000000-A3JHG_1_1106_21709_8928	1	79
M00967_43_000000000-A3JHG_1_2101_21626_25370	1	958
M00967_43_000000000-A3JHG_1_1112_15845_7498	1	371
M00967_43_000000000-A3JHG_1_1111_8076_5366	1	33
M00967_43_000000000-A3JHG_1_2107_5669_14725	1	989
M00967_43_000000000-A3JHG_1_1104_18154_5231	1	1204
M00967_43_000000000-A3JHG_1_1112_17697_28018	1	18
M00967_43_000000000-A3JHG_1_1107_12933_12511	1	809
M00967_43_000000000-A3JHG_1_1106_12451_26200	1	61
M00967_43_000000000-A3JHG_1_1112_14545_22329	1	206
M00967_43_000000000-A3JHG_1_2112_16550_25205	1	116
M00967_43_000000000-A3JHG_1_2105_15439_26166	1	0
M00967_43_000000000-A3JHG_1_1107_15379_24352	1	180
M00967_43_000000000-A3JHG_1_1109_14737_7116	1	35
M00967_43_000000000-A3JHG_1_2101_22006_26572	1	396
M00967_43_000000000-A3JHG_1_1101_5646_21073	1	8
M00967_43_000000000-A3JHG_1_1112_4585_22680	1	376
M00967_43_000000000-A3JHG_1_2109_10367_24458	1	1057
M00967_43_000000000-A3JHG_1_1112_3643_16823	1	12
M00967_43_000000000-A3JHG_1_1112_8561_12684	1	93
M00967_43_000000000-A3JHG_1_1101_4555_13692	1	158
M00967_43_000000000-A3JHG_1_1114_6037_6818	1	53
M00967_43_000000000-A3JHG_1_1111_21394_22032	1	73
M00967_43_000000000-A3JHG_1_1113_15393_25327	8	1089
M00967_43_000000000-A3JHG_1_1104_8227_4844	2	72
M00967_43_000000000-A3JHG_1_1108_16438_13568	1	11
M00967_43_000000000-A3JHG_1_1112_20314_22131	1	1414
M00967_43_000000000-A3JHG_1_1110_26028_21767	1	46
M00967_43_000000000-A3JHG_1_2112_14071_25041	2	52
M00967_43_000000000-A3JHG_1_1112_14440_2593	1	28
M00967_43_000000000-A3JHG_1_1101_7895_5067	2	66
M00967_43_000000000-A3JHG_1_2110_22904_8043	1	209
M00967_43_000000000-A3JHG_1_2106_20168_3238	1	49
M00967_43_000000000-A3JHG_1_1101_9708_11990	1	9
M00967_43_000000000-A3JHG_1_2105_23338_19840	1	364
M00967_43_000000000-A3JHG_1_1111_8918_23766	5	551
M00967_43_000000000-A3JHG_1_1102_4364_7753	1	71
M00967_43_000000000-A3JHG_1_1112_28866_15906	1	827
M00967_43_000000000-A3JHG_1_1113_24269_15798	1	744
M00967_43_000000000-A3JHG_1_2106_11665_14982	1	90
M00967_43_000000000-A3JHG_1_2110_5875_15974	1	1426
M00967_43_000000000-A3JHG_1_1110_14275_27762	1	133
M00967_43_000000000-A3JHG_1_2106_19532_22318	1	91
M00967_43_000000000-A3JHG_1_2108_14484_8050	1	88
M00967_43_000000000-A3JHG_1_1114_20098_26797	1	496
M00967_43_000000000-A3JHG_1_1112_13549_16172	1	21
M00967_43_000000000-A3JHG_1_1109_23997_19021	1	18
M00967_43_000000000-A3JHG_1_1113_29702_15147	5	64
M00967_43_000000000-A3JHG_1_1106_15194_2593	1	103
M00967_43_000000000-A3JHG_1_1107_13355_26102	1	471
M00967_43_000000000-A3JHG_1_2101_10483_22416	1	1188
M00967_43_000000000-A3JHG_1_2110_19927_20340	1	170
M00967_43_000000000-A3JHG_1_1113_16608_8411	1	723
M00967_43_000000000-A3JHG_1_1114_6226_22493	1	1081
M00967_43_000000000-A3JHG_1_1109_10106_6928	1	1203
M00967_43_000000000-A3JHG_1_1113_7082_18150	1	162
M00967_43_000000000-A3JHG_1_1110_21926_9562	1	20
M00967_43_000000000-A3JHG_1_1110_15739_2479	1	45
M00967_43_000000000-A3JHG_1_1103_25564_6805	1	315
M00967_43_000000000-A3JHG_1_1114_23433_7801	1	4
M00967_43_000000000-A3JHG_1_1114_16401_5648	1	917
M00967_43_000000000-A3JHG_1_1101_16986_9425	1	36
M00967_43_000000000-A3JHG_1_1102_11697_23719	1	50
M00967_43_000000000-A3JHG_1_1108_27537_17954	3	62
M00967_43_000000000-A3JHG_1_1109_20622_25894	6	67
M00967_43_000000000-A3JHG_1_2103_12732_22875	1	5
M00967_43_000000000-A3JHG_1_1103_15581_14217	1	136
M00967_43_000000000-A3JHG_1_1113_16993_25122	1	1452
M00967_43_000000000-A3JHG_1_1107_9912_10427	1	1539
