n_gaps	total_chars	dataset	ref_weight	ref_frac	sample_frac	seed
26919567	46763352	human	simple	0.1	0.2	1
26919660	46763352	human	simple	0.1	0.2	2
26919653	46763352	human	simple	0.1	0.2	3
26919554	46763352	human	simple	0.1	0.2	4
26919554	46763352	human	simple	0.1	0.2	5
26919312	46763352	human	simple	0.1	0.2	6
26919638	46763352	human	simple	0.1	0.2	7
26919490	46763352	human	simple	0.1	0.2	8
26919389	46763352	human	simple	0.1	0.2	9
26919357	46763352	human	simple	0.1	0.2	10
26919376	46763352	human	simple	0.1	0.2	11
26919606	46763352	human	simple	0.1	0.2	12
26919385	46763352	human	simple	0.1	0.2	13
26919360	46763352	human	simple	0.1	0.2	14
26919457	46763352	human	simple	0.1	0.2	15
26919551	46763352	human	simple	0.1	0.2	16
26919354	46763352	human	simple	0.1	0.2	17
26919595	46763352	human	simple	0.1	0.2	18
26919614	46763352	human	simple	0.1	0.2	19
26919462	46763352	human	simple	0.1	0.2	20
35892720	62351136	human	simple	0.2	0.2	1
35892706	62351136	human	simple	0.2	0.2	2
35892548	62351136	human	simple	0.2	0.2	3
35892537	62351136	human	simple	0.2	0.2	4
35892674	62351136	human	simple	0.2	0.2	5
35892565	62351136	human	simple	0.2	0.2	6
35892743	62351136	human	simple	0.2	0.2	7
35892959	62351136	human	simple	0.2	0.2	8
35892866	62351136	human	simple	0.2	0.2	9
35892711	62351136	human	simple	0.2	0.2	10
35892563	62351136	human	simple	0.2	0.2	11
35892540	62351136	human	simple	0.2	0.2	12
35892457	62351136	human	simple	0.2	0.2	13
35892782	62351136	human	simple	0.2	0.2	14
35892558	62351136	human	simple	0.2	0.2	15
35892647	62351136	human	simple	0.2	0.2	16
35892707	62351136	human	simple	0.2	0.2	17
35892673	62351136	human	simple	0.2	0.2	18
35892427	62351136	human	simple	0.2	0.2	19
35892590	62351136	human	simple	0.2	0.2	20
44865798	77938920	human	simple	0.3	0.2	1
44866017	77938920	human	simple	0.3	0.2	2
44865592	77938920	human	simple	0.3	0.2	3
44865941	77938920	human	simple	0.3	0.2	4
44865690	77938920	human	simple	0.3	0.2	5
44865845	77938920	human	simple	0.3	0.2	6
44865751	77938920	human	simple	0.3	0.2	7
44866079	77938920	human	simple	0.3	0.2	8
44865790	77938920	human	simple	0.3	0.2	9
44865695	77938920	human	simple	0.3	0.2	10
44865645	77938920	human	simple	0.3	0.2	11
44865770	77938920	human	simple	0.3	0.2	12
44865731	77938920	human	simple	0.3	0.2	13
44865980	77938920	human	simple	0.3	0.2	14
44865967	77938920	human	simple	0.3	0.2	15
44865778	77938920	human	simple	0.3	0.2	16
44865763	77938920	human	simple	0.3	0.2	17
