dataset	ref_weight	ref_frac	sample_frac	seed	num_ref_seqs	num_sample_seqs
human	simple	0.1	0.2	1	26154	52308
human	simple	0.1	0.2	2	26154	52308
human	simple	0.1	0.2	3	26154	52308
human	simple	0.1	0.2	4	26154	52308
human	simple	0.1	0.2	5	26154	52308
human	simple	0.1	0.2	6	26154	52308
human	simple	0.1	0.2	7	26154	52308
human	simple	0.1	0.2	8	26154	52308
human	simple	0.1	0.2	9	26154	52308
human	simple	0.1	0.2	10	26154	52308
human	simple	0.1	0.2	11	26154	52308
human	simple	0.1	0.2	12	26154	52308
human	simple	0.1	0.2	13	26154	52308
human	simple	0.1	0.2	14	26154	52308
human	simple	0.1	0.2	15	26154	52308
human	simple	0.1	0.2	16	26154	52308
human	simple	0.1	0.2	17	26154	52308
human	simple	0.1	0.2	18	26154	52308
human	simple	0.1	0.2	19	26154	52308
human	simple	0.1	0.2	20	26154	52308
human	simple	0.2	0.2	1	52308	52308
human	simple	0.2	0.2	2	52308	52308
human	simple	0.2	0.2	3	52308	52308
human	simple	0.2	0.2	4	52308	52308
human	simple	0.2	0.2	5	52308	52308
human	simple	0.2	0.2	6	52308	52308
human	simple	0.2	0.2	7	52308	52308
human	simple	0.2	0.2	8	52308	52308
human	simple	0.2	0.2	9	52308	52308
human	simple	0.2	0.2	10	52308	52308
human	simple	0.2	0.2	11	52308	52308
human	simple	0.2	0.2	12	52308	52308
human	simple	0.2	0.2	13	52308	52308
human	simple	0.2	0.2	14	52308	52308
human	simple	0.2	0.2	15	52308	52308
human	simple	0.2	0.2	16	52308	52308
human	simple	0.2	0.2	17	52308	52308
human	simple	0.2	0.2	18	52308	52308
human	simple	0.2	0.2	19	52308	52308
human	simple	0.2	0.2	20	52308	52308
human	simple	0.3	0.2	1	78462	52308
human	simple	0.3	0.2	2	78462	52308
human	simple	0.3	0.2	3	78462	52308
human	simple	0.3	0.2	4	78462	52308
human	simple	0.3	0.2	5	78462	52308
human	simple	0.3	0.2	6	78462	52308
human	simple	0.3	0.2	7	78462	52308
human	simple	0.3	0.2	8	78462	52308
human	simple	0.3	0.2	9	78462	52308
human	simple	0.3	0.2	10	78462	52308
human	simple	0.3	0.2	11	78462	52308
human	simple	0.3	0.2	12	78462	52308
human	simple	0.3	0.2	13	78462	52308
human	simple	0.3	0.2	14	78462	52308
human	simple	0.3	0.2	15	78462	52308
human	simple	0.3	0.2	16	78462	52308
human	simple	0.3	0.2	17	78462	52308
human	simple	0.3	0.2	18	78462	52308
human	simple	0.3	0.2	19	78462	52308
human	simple	0.3	0.2	20	78462	52308
human	simple	0.4	0.2	1	104616	52308
human	simple	0.4	0.2	2	104616	52308
human	simple	0.4	0.2	3	104616	52308
human	simple	0.4	0.2	4	104616	52308
human	simple	0.4	0.2	5	104616	52308
human	simple	0.4	0.2	6	104616	52308
human	simple	0.4	0.2	7	104616	52308
human	simple	0.4	0.2	8	104616	52308
human	simple	0.4	0.2	9	104616	52308
human	simple	0.4	0.2	10	104616	52308
human	simple	0.4	0.2	11	104616	52308
human	simple	0.4	0.2	12	104616	52308
human	simple	0.4	0.2	13	104616	52308
human	simple	0.4	0.2	14	104616	52308
human	simple	0.4	0.2	15	104616	52308
human	simple	0.4	0.2	16	104616	52308
human	simple	0.4	0.2	17	104616	52308
human	simple	0.4	0.2	18	104616	52308
human	simple	0.4	0.2	19	104616	52308
human	simple	0.4	0.2	20	104616	52308
human	simple	0.5	0.2	1	130770	52308
human	simple	0.5	0.2	2	130770	52308
human	simple	0.5	0.2	3	130770	52308
human	simple	0.5	0.2	4	130770	52308
human	simple	0.5	0.2	5	130770	52308
human	simple	0.5	0.2	6	130770	52308
human	simple	0.5	0.2	7	130770	52308
human	simple	0.5	0.2	8	130770	52308
human	simple	0.5	0.2	9	130770	52308
human	simple	0.5	0.2	10	130770	52308
human	simple	0.5	0.2	11	130770	52308
human	simple	0.5	0.2	12	130770	52308
human	simple	0.5	0.2	13	130770	52308
human	simple	0.5	0.2	14	130770	52308
human	simple	0.5	0.2	15	130770	52308
human	simple	0.5	0.2	16	130770	52308
human	simple	0.5	0.2	17	130770	52308
human	simple	0.5	0.2	18	130770	52308
human	simple	0.5	0.2	19	130770	52308
human	simple	0.5	0.2	20	130770	52308
human	simple	0.6	0.2	1	156923	52308
human	simple	0.6	0.2	2	156923	52308
human	simple	0.6	0.2	3	156923	52308
human	simple	0.6	0.2	4	156923	52308
human	simple	0.6	0.2	5	156923	52308
human	simple	0.6	0.2	6	156923	52308
human	simple	0.6	0.2	7	156923	52308
human	simple	0.6	0.2	8	156923	52308
human	simple	0.6	0.2	9	156923	52308
human	simple	0.6	0.2	10	156923	52308
human	simple	0.6	0.2	11	156923	52308
human	simple	0.6	0.2	12	156923	52308
human	simple	0.6	0.2	13	156923	52308
human	simple	0.6	0.2	14	156923	52308
human	simple	0.6	0.2	15	156923	52308
human	simple	0.6	0.2	16	156923	52308
human	simple	0.6	0.2	17	156923	52308
human	simple	0.6	0.2	18	156923	52308
human	simple	0.6	0.2	19	156923	52308
human	simple	0.6	0.2	20	156923	52308
human	simple	0.7	0.2	1	183077	52308
human	simple	0.7	0.2	2	183077	52308
human	simple	0.7	0.2	3	183077	52308
human	simple	0.7	0.2	4	183077	52308
human	simple	0.7	0.2	5	183077	52308
human	simple	0.7	0.2	6	183077	52308
human	simple	0.7	0.2	7	183077	52308
human	simple	0.7	0.2	8	183077	52308
human	simple	0.7	0.2	9	183077	52308
human	simple	0.7	0.2	10	183077	52308
human	simple	0.7	0.2	11	183077	52308
human	simple	0.7	0.2	12	183077	52308
human	simple	0.7	0.2	13	183077	52308
human	simple	0.7	0.2	14	183077	52308
human	simple	0.7	0.2	15	183077	52308
human	simple	0.7	0.2	16	183077	52308
human	simple	0.7	0.2	17	183077	52308
human	simple	0.7	0.2	18	183077	52308
human	simple	0.7	0.2	19	183077	52308
human	simple	0.7	0.2	20	183077	52308
human	simple	0.8	0.2	1	209231	52308
human	simple	0.8	0.2	2	209231	52308
human	simple	0.8	0.2	3	209231	52308
human	simple	0.8	0.2	4	209231	52308
human	simple	0.8	0.2	5	209231	52308
human	simple	0.8	0.2	6	209231	52308
human	simple	0.8	0.2	7	209231	52308
human	simple	0.8	0.2	8	209231	52308
human	simple	0.8	0.2	9	209231	52308
human	simple	0.8	0.2	10	209231	52308
human	simple	0.8	0.2	11	209231	52308
human	simple	0.8	0.2	12	209231	52308
human	simple	0.8	0.2	13	209231	52308
human	simple	0.8	0.2	14	209231	52308
human	simple	0.8	0.2	15	209231	52308
human	simple	0.8	0.2	16	209231	52308
human	simple	0.8	0.2	17	209231	52308
human	simple	0.8	0.2	18	209231	52308
human	simple	0.8	0.2	19	209231	52308
human	simple	0.8	0.2	20	209231	52308
human	abundance	0.1	0.2	1	26154	52308
human	abundance	0.1	0.2	2	26154	52308
human	abundance	0.1	0.2	3	26154	52308
human	abundance	0.1	0.2	4	26154	52308
human	abundance	0.1	0.2	5	26154	52308
human	abundance	0.1	0.2	6	26154	52308
human	abundance	0.1	0.2	7	26154	52308
human	abundance	0.1	0.2	8	26154	52308
human	abundance	0.1	0.2	9	26154	52308
human	abundance	0.1	0.2	10	26154	52308
human	abundance	0.1	0.2	11	26154	52308
human	abundance	0.1	0.2	12	26154	52308
human	abundance	0.1	0.2	13	26154	52308
human	abundance	0.1	0.2	14	26154	52308
human	abundance	0.1	0.2	15	26154	52308
human	abundance	0.1	0.2	16	26154	52308
human	abundance	0.1	0.2	17	26154	52308
human	abundance	0.1	0.2	18	26154	52308
human	abundance	0.1	0.2	19	26154	52308
human	abundance	0.1	0.2	20	26154	52308
human	abundance	0.2	0.2	1	52308	52308
human	abundance	0.2	0.2	2	52308	52308
human	abundance	0.2	0.2	3	52308	52308
human	abundance	0.2	0.2	4	52308	52308
human	abundance	0.2	0.2	5	52308	52308
human	abundance	0.2	0.2	6	52308	52308
human	abundance	0.2	0.2	7	52308	52308
human	abundance	0.2	0.2	8	52308	52308
human	abundance	0.2	0.2	9	52308	52308
human	abundance	0.2	0.2	10	52308	52308
human	abundance	0.2	0.2	11	52308	52308
human	abundance	0.2	0.2	12	52308	52308
human	abundance	0.2	0.2	13	52308	52308
human	abundance	0.2	0.2	14	52308	52308
human	abundance	0.2	0.2	15	52308	52308
human	abundance	0.2	0.2	16	52308	52308
human	abundance	0.2	0.2	17	52308	52308
human	abundance	0.2	0.2	18	52308	52308
human	abundance	0.2	0.2	19	52308	52308
human	abundance	0.2	0.2	20	52308	52308
human	abundance	0.3	0.2	1	78462	52308
human	abundance	0.3	0.2	2	78462	52308
human	abundance	0.3	0.2	3	78462	52308
human	abundance	0.3	0.2	4	78462	52308
human	abundance	0.3	0.2	5	78462	52308
human	abundance	0.3	0.2	6	78462	52308
human	abundance	0.3	0.2	7	78462	52308
human	abundance	0.3	0.2	8	78462	52308
human	abundance	0.3	0.2	9	78462	52308
human	abundance	0.3	0.2	10	78462	52308
human	abundance	0.3	0.2	11	78462	52308
human	abundance	0.3	0.2	12	78462	52308
human	abundance	0.3	0.2	13	78462	52308
human	abundance	0.3	0.2	14	78462	52308
human	abundance	0.3	0.2	15	78462	52308
human	abundance	0.3	0.2	16	78462	52308
human	abundance	0.3	0.2	17	78462	52308
human	abundance	0.3	0.2	18	78462	52308
human	abundance	0.3	0.2	19	78462	52308
human	abundance	0.3	0.2	20	78462	52308
human	abundance	0.4	0.2	1	104616	52308
human	abundance	0.4	0.2	2	104616	52308
human	abundance	0.4	0.2	3	104616	52308
human	abundance	0.4	0.2	4	104616	52308
human	abundance	0.4	0.2	5	104616	52308
human	abundance	0.4	0.2	6	104616	52308
human	abundance	0.4	0.2	7	104616	52308
human	abundance	0.4	0.2	8	104616	52308
human	abundance	0.4	0.2	9	104616	52308
human	abundance	0.4	0.2	10	104616	52308
human	abundance	0.4	0.2	11	104616	52308
human	abundance	0.4	0.2	12	104616	52308
human	abundance	0.4	0.2	13	104616	52308
human	abundance	0.4	0.2	14	104616	52308
human	abundance	0.4	0.2	15	104616	52308
human	abundance	0.4	0.2	16	104616	52308
human	abundance	0.4	0.2	17	104616	52308
human	abundance	0.4	0.2	18	104616	52308
human	abundance	0.4	0.2	19	104616	52308
human	abundance	0.4	0.2	20	104616	52308
human	abundance	0.5	0.2	1	130770	52308
human	abundance	0.5	0.2	2	130770	52308
human	abundance	0.5	0.2	3	130770	52308
human	abundance	0.5	0.2	4	130770	52308
human	abundance	0.5	0.2	5	130770	52308
human	abundance	0.5	0.2	6	130770	52308
human	abundance	0.5	0.2	7	130770	52308
human	abundance	0.5	0.2	8	130770	52308
human	abundance	0.5	0.2	9	130770	52308
human	abundance	0.5	0.2	10	130770	52308
human	abundance	0.5	0.2	11	130770	52308
human	abundance	0.5	0.2	12	130770	52308
human	abundance	0.5	0.2	13	130770	52308
human	abundance	0.5	0.2	14	130770	52308
human	abundance	0.5	0.2	15	130770	52308
human	abundance	0.5	0.2	16	130770	52308
human	abundance	0.5	0.2	17	130770	52308
human	abundance	0.5	0.2	18	130770	52308
human	abundance	0.5	0.2	19	130770	52308
human	abundance	0.5	0.2	20	130770	52308
human	abundance	0.6	0.2	1	156923	52308
human	abundance	0.6	0.2	2	156923	52308
human	abundance	0.6	0.2	3	156923	52308
human	abundance	0.6	0.2	4	156923	52308
human	abundance	0.6	0.2	5	156923	52308
human	abundance	0.6	0.2	6	156923	52308
human	abundance	0.6	0.2	7	156923	52308
human	abundance	0.6	0.2	8	156923	52308
human	abundance	0.6	0.2	9	156923	52308
human	abundance	0.6	0.2	10	156923	52308
human	abundance	0.6	0.2	11	156923	52308
human	abundance	0.6	0.2	12	156923	52308
human	abundance	0.6	0.2	13	156923	52308
human	abundance	0.6	0.2	14	156923	52308
human	abundance	0.6	0.2	15	156923	52308
human	abundance	0.6	0.2	16	156923	52308
human	abundance	0.6	0.2	17	156923	52308
human	abundance	0.6	0.2	18	156923	52308
human	abundance	0.6	0.2	19	156923	52308
human	abundance	0.6	0.2	20	156923	52308
human	abundance	0.7	0.2	1	183077	52308
human	abundance	0.7	0.2	2	183077	52308
human	abundance	0.7	0.2	3	183077	52308
human	abundance	0.7	0.2	4	183077	52308
human	abundance	0.7	0.2	5	183077	52308
human	abundance	0.7	0.2	6	183077	52308
human	abundance	0.7	0.2	7	183077	52308
human	abundance	0.7	0.2	8	183077	52308
human	abundance	0.7	0.2	9	183077	52308
human	abundance	0.7	0.2	10	183077	52308
human	abundance	0.7	0.2	11	183077	52308
human	abundance	0.7	0.2	12	183077	52308
human	abundance	0.7	0.2	13	183077	52308
human	abundance	0.7	0.2	14	183077	52308
human	abundance	0.7	0.2	15	183077	52308
human	abundance	0.7	0.2	16	183077	52308
human	abundance	0.7	0.2	17	183077	52308
human	abundance	0.7	0.2	18	183077	52308
human	abundance	0.7	0.2	19	183077	52308
human	abundance	0.7	0.2	20	183077	52308
human	abundance	0.8	0.2	1	209231	52308
human	abundance	0.8	0.2	2	209231	52308
human	abundance	0.8	0.2	3	209231	52308
human	abundance	0.8	0.2	4	209231	52308
human	abundance	0.8	0.2	5	209231	52308
human	abundance	0.8	0.2	6	209231	52308
human	abundance	0.8	0.2	7	209231	52308
human	abundance	0.8	0.2	8	209231	52308
human	abundance	0.8	0.2	9	209231	52308
human	abundance	0.8	0.2	10	209231	52308
human	abundance	0.8	0.2	11	209231	52308
human	abundance	0.8	0.2	12	209231	52308
human	abundance	0.8	0.2	13	209231	52308
human	abundance	0.8	0.2	14	209231	52308
human	abundance	0.8	0.2	15	209231	52308
human	abundance	0.8	0.2	16	209231	52308
human	abundance	0.8	0.2	17	209231	52308
human	abundance	0.8	0.2	18	209231	52308
human	abundance	0.8	0.2	19	209231	52308
human	abundance	0.8	0.2	20	209231	52308
human	distance	0.1	0.2	1	26154	52308
human	distance	0.1	0.2	2	26154	52308
human	distance	0.1	0.2	3	26154	52308
