dataset	seed	method	printref	fraction_mapped	sample_frac	ref_frac	ref_weight
human	1	closed	FALSE	0.762	0.9	0.1	simple
human	2	closed	FALSE	0.762	0.9	0.1	simple
human	3	closed	FALSE	0.761	0.9	0.1	simple
human	4	closed	FALSE	0.762	0.9	0.1	simple
human	5	closed	FALSE	0.763	0.9	0.1	simple
human	6	closed	FALSE	0.761	0.9	0.1	simple
human	7	closed	FALSE	0.763	0.9	0.1	simple
human	8	closed	FALSE	0.763	0.9	0.1	simple
human	9	closed	FALSE	0.762	0.9	0.1	simple
human	10	closed	FALSE	0.762	0.9	0.1	simple
human	11	closed	FALSE	0.761	0.9	0.1	simple
human	12	closed	FALSE	0.76	0.9	0.1	simple
human	13	closed	FALSE	0.76	0.9	0.1	simple
human	14	closed	FALSE	0.762	0.9	0.1	simple
human	15	closed	FALSE	0.764	0.9	0.1	simple
human	16	closed	FALSE	0.76	0.9	0.1	simple
human	17	closed	FALSE	0.759	0.9	0.1	simple
human	18	closed	FALSE	0.76	0.9	0.1	simple
human	19	closed	FALSE	0.761	0.9	0.1	simple
human	20	closed	FALSE	0.76	0.9	0.1	simple
human	1	closed	FALSE	0.742	0.9	0.1	abundance
human	2	closed	FALSE	0.742	0.9	0.1	abundance
human	3	closed	FALSE	0.74	0.9	0.1	abundance
human	4	closed	FALSE	0.739	0.9	0.1	abundance
human	5	closed	FALSE	0.741	0.9	0.1	abundance
human	6	closed	FALSE	0.741	0.9	0.1	abundance
human	7	closed	FALSE	0.741	0.9	0.1	abundance
human	8	closed	FALSE	0.741	0.9	0.1	abundance
human	9	closed	FALSE	0.742	0.9	0.1	abundance
human	10	closed	FALSE	0.744	0.9	0.1	abundance
human	11	closed	FALSE	0.742	0.9	0.1	abundance
human	12	closed	FALSE	0.74	0.9	0.1	abundance
human	13	closed	FALSE	0.74	0.9	0.1	abundance
human	14	closed	FALSE	0.741	0.9	0.1	abundance
human	15	closed	FALSE	0.74	0.9	0.1	abundance
human	16	closed	FALSE	0.742	0.9	0.1	abundance
human	17	closed	FALSE	0.737	0.9	0.1	abundance
human	18	closed	FALSE	0.741	0.9	0.1	abundance
human	19	closed	FALSE	0.74	0.9	0.1	abundance
human	20	closed	FALSE	0.739	0.9	0.1	abundance
human	1	closed	FALSE	0.542	0.9	0.1	distance
human	2	closed	FALSE	0.538	0.9	0.1	distance
human	3	closed	FALSE	0.537	0.9	0.1	distance
human	4	closed	FALSE	0.533	0.9	0.1	distance
human	5	closed	FALSE	0.54	0.9	0.1	distance
human	6	closed	FALSE	0.537	0.9	0.1	distance
human	7	closed	FALSE	0.536	0.9	0.1	distance
human	8	closed	FALSE	0.536	0.9	0.1	distance
human	9	closed	FALSE	0.537	0.9	0.1	distance
human	10	closed	FALSE	0.536	0.9	0.1	distance
human	11	closed	FALSE	0.535	0.9	0.1	distance
human	12	closed	FALSE	0.534	0.9	0.1	distance
human	13	closed	FALSE	0.538	0.9	0.1	distance
human	14	closed	FALSE	0.533	0.9	0.1	distance
human	15	closed	FALSE	0.54	0.9	0.1	distance
human	16	closed	FALSE	0.533	0.9	0.1	distance
human	17	closed	FALSE	0.535	0.9	0.1	distance
human	18	closed	FALSE	0.534	0.9	0.1	distance
human	19	closed	FALSE	0.539	0.9	0.1	distance
human	20	closed	FALSE	0.536	0.9	0.1	distance
marine	1	closed	FALSE	0.498	0.9	0.1	simple
marine	2	closed	FALSE	0.503	0.9	0.1	simple
marine	3	closed	FALSE	0.503	0.9	0.1	simple
marine	4	closed	FALSE	0.504	0.9	0.1	simple
marine	5	closed	FALSE	0.501	0.9	0.1	simple
marine	6	closed	FALSE	0.502	0.9	0.1	simple
marine	7	closed	FALSE	0.501	0.9	0.1	simple
marine	8	closed	FALSE	0.501	0.9	0.1	simple
marine	9	closed	FALSE	0.503	0.9	0.1	simple
marine	10	closed	FALSE	0.502	0.9	0.1	simple
marine	11	closed	FALSE	0.501	0.9	0.1	simple
marine	12	closed	FALSE	0.503	0.9	0.1	simple
marine	13	closed	FALSE	0.502	0.9	0.1	simple
marine	14	closed	FALSE	0.503	0.9	0.1	simple
marine	15	closed	FALSE	0.5	0.9	0.1	simple
marine	16	closed	FALSE	0.497	0.9	0.1	simple
marine	17	closed	FALSE	0.5	0.9	0.1	simple
marine	18	closed	FALSE	0.5	0.9	0.1	simple
marine	19	closed	FALSE	0.503	0.9	0.1	simple
marine	20	closed	FALSE	0.502	0.9	0.1	simple
marine	1	closed	FALSE	0.494	0.9	0.1	abundance
