dataset	seed	method	printref	fraction_mapped	sample_frac	ref_frac	ref_weight
marine	2	closed	FALSE	0.494	0.9	0.1	abundance
marine	3	closed	FALSE	0.493	0.9	0.1	abundance
marine	4	closed	FALSE	0.491	0.9	0.1	abundance
marine	5	closed	FALSE	0.493	0.9	0.1	abundance
marine	6	closed	FALSE	0.494	0.9	0.1	abundance
marine	7	closed	FALSE	0.492	0.9	0.1	abundance
marine	8	closed	FALSE	0.494	0.9	0.1	abundance
marine	9	closed	FALSE	0.494	0.9	0.1	abundance
marine	10	closed	FALSE	0.497	0.9	0.1	abundance
marine	11	closed	FALSE	0.495	0.9	0.1	abundance
marine	12	closed	FALSE	0.497	0.9	0.1	abundance
marine	13	closed	FALSE	0.495	0.9	0.1	abundance
marine	14	closed	FALSE	0.496	0.9	0.1	abundance
marine	15	closed	FALSE	0.493	0.9	0.1	abundance
marine	16	closed	FALSE	0.493	0.9	0.1	abundance
marine	17	closed	FALSE	0.496	0.9	0.1	abundance
marine	18	closed	FALSE	0.494	0.9	0.1	abundance
marine	19	closed	FALSE	0.491	0.9	0.1	abundance
marine	20	closed	FALSE	0.49	0.9	0.1	abundance
marine	1	closed	FALSE	0.297	0.9	0.1	distance
marine	2	closed	FALSE	0.298	0.9	0.1	distance
marine	3	closed	FALSE	0.296	0.9	0.1	distance
marine	4	closed	FALSE	0.295	0.9	0.1	distance
marine	5	closed	FALSE	0.3	0.9	0.1	distance
marine	6	closed	FALSE	0.295	0.9	0.1	distance
marine	7	closed	FALSE	0.296	0.9	0.1	distance
marine	8	closed	FALSE	0.293	0.9	0.1	distance
marine	9	closed	FALSE	0.292	0.9	0.1	distance
marine	10	closed	FALSE	0.294	0.9	0.1	distance
marine	11	closed	FALSE	0.292	0.9	0.1	distance
marine	12	closed	FALSE	0.299	0.9	0.1	distance
marine	13	closed	FALSE	0.296	0.9	0.1	distance
marine	14	closed	FALSE	0.298	0.9	0.1	distance
marine	15	closed	FALSE	0.296	0.9	0.1	distance
marine	16	closed	FALSE	0.298	0.9	0.1	distance
marine	17	closed	FALSE	0.298	0.9	0.1	distance
marine	18	closed	FALSE	0.296	0.9	0.1	distance
marine	19	closed	FALSE	0.293	0.9	0.1	distance
marine	20	closed	FALSE	0.298	0.9	0.1	distance
mouse	1	closed	FALSE	0.811	0.9	0.1	simple
mouse	2	closed	FALSE	0.816	0.9	0.1	simple
mouse	3	closed	FALSE	0.811	0.9	0.1	simple
mouse	4	closed	FALSE	0.814	0.9	0.1	simple
mouse	5	closed	FALSE	0.814	0.9	0.1	simple
mouse	6	closed	FALSE	0.813	0.9	0.1	simple
mouse	7	closed	FALSE	0.813	0.9	0.1	simple
mouse	8	closed	FALSE	0.811	0.9	0.1	simple
mouse	9	closed	FALSE	0.809	0.9	0.1	simple
mouse	10	closed	FALSE	0.813	0.9	0.1	simple
mouse	11	closed	FALSE	0.811	0.9	0.1	simple
mouse	12	closed	FALSE	0.812	0.9	0.1	simple
mouse	13	closed	FALSE	0.809	0.9	0.1	simple
mouse	14	closed	FALSE	0.812	0.9	0.1	simple
mouse	15	closed	FALSE	0.815	0.9	0.1	simple
mouse	16	closed	FALSE	0.809	0.9	0.1	simple
mouse	17	closed	FALSE	0.811	0.9	0.1	simple
mouse	18	closed	FALSE	0.812	0.9	0.1	simple
mouse	19	closed	FALSE	0.81	0.9	0.1	simple
mouse	20	closed	FALSE	0.81	0.9	0.1	simple
mouse	1	closed	FALSE	0.79	0.9	0.1	abundance
mouse	2	closed	FALSE	0.792	0.9	0.1	abundance
mouse	3	closed	FALSE	0.785	0.9	0.1	abundance
mouse	4	closed	FALSE	0.785	0.9	0.1	abundance
mouse	5	closed	FALSE	0.787	0.9	0.1	abundance
mouse	6	closed	FALSE	0.787	0.9	0.1	abundance
mouse	7	closed	FALSE	0.791	0.9	0.1	abundance
mouse	8	closed	FALSE	0.784	0.9	0.1	abundance
mouse	9	closed	FALSE	0.79	0.9	0.1	abundance
mouse	10	closed	FALSE	0.792	0.9	0.1	abundance
mouse	11	closed	FALSE	0.789	0.9	0.1	abundance
mouse	12	closed	FALSE	0.787	0.9	0.1	abundance
mouse	13	closed	FALSE	0.791	0.9	0.1	abundance
mouse	14	closed	FALSE	0.788	0.9	0.1	abundance
mouse	15	closed	FALSE	0.789	0.9	0.1	abundance
mouse	16	closed	FALSE	0.789	0.9	0.1	abundance
mouse	17	closed	FALSE	0.784	0.9	0.1	abundance
mouse	18	closed	FALSE	0.786	0.9	0.1	abundance
mouse	19	closed	FALSE	0.794	0.9	0.1	abundance
mouse	20	closed	FALSE	0.792	0.9	0.1	abundance
mouse	1	closed	FALSE	0.621	0.9	0.1	distance
mouse	2	closed	FALSE	0.619	0.9	0.1	distance
mouse	3	closed	FALSE	0.628	0.9	0.1	distance
mouse	4	closed	FALSE	0.631	0.9	0.1	distance
mouse	5	closed	FALSE	0.626	0.9	0.1	distance
mouse	6	closed	FALSE	0.635	0.9	0.1	distance
mouse	7	closed	FALSE	0.627	0.9	0.1	distance
mouse	8	closed	FALSE	0.628	0.9	0.1	distance
mouse	9	closed	FALSE	0.623	0.9	0.1	distance
mouse	10	closed	FALSE	0.624	0.9	0.1	distance
mouse	11	closed	FALSE	0.621	0.9	0.1	distance
mouse	12	closed	FALSE	0.625	0.9	0.1	distance
mouse	13	closed	FALSE	0.629	0.9	0.1	distance
mouse	14	closed	FALSE	0.631	0.9	0.1	distance
mouse	15	closed	FALSE	0.637	0.9	0.1	distance
mouse	16	closed	FALSE	0.626	0.9	0.1	distance
mouse	17	closed	FALSE	0.629	0.9	0.1	distance
mouse	18	closed	FALSE	0.635	0.9	0.1	distance
mouse	19	closed	FALSE	0.622	0.9	0.1	distance
mouse	20	closed	FALSE	0.637	0.9	0.1	distance
soil	1	closed	FALSE	0.54	0.9	0.1	simple
soil	2	closed	FALSE	0.538	0.9	0.1	simple
soil	3	closed	FALSE	0.541	0.9	0.1	simple
soil	4	closed	FALSE	0.538	0.9	0.1	simple
soil	5	closed	FALSE	0.54	0.9	0.1	simple
soil	6	closed	FALSE	0.543	0.9	0.1	simple
soil	7	closed	FALSE	0.54	0.9	0.1	simple
soil	8	closed	FALSE	0.535	0.9	0.1	simple
soil	9	closed	FALSE	0.539	0.9	0.1	simple
soil	10	closed	FALSE	0.538	0.9	0.1	simple
soil	11	closed	FALSE	0.539	0.9	0.1	simple
soil	12	closed	FALSE	0.538	0.9	0.1	simple
soil	13	closed	FALSE	0.539	0.9	0.1	simple
soil	14	closed	FALSE	0.544	0.9	0.1	simple
soil	15	closed	FALSE	0.544	0.9	0.1	simple
soil	16	closed	FALSE	0.54	0.9	0.1	simple
soil	17	closed	FALSE	0.539	0.9	0.1	simple
soil	18	closed	FALSE	0.538	0.9	0.1	simple
soil	19	closed	FALSE	0.544	0.9	0.1	simple
soil	20	closed	FALSE	0.538	0.9	0.1	simple
soil	1	closed	FALSE	0.53	0.9	0.1	abundance
soil	2	closed	FALSE	0.532	0.9	0.1	abundance
soil	3	closed	FALSE	0.532	0.9	0.1	abundance
soil	4	closed	FALSE	0.534	0.9	0.1	abundance
soil	5	closed	FALSE	0.532	0.9	0.1	abundance
soil	6	closed	FALSE	0.531	0.9	0.1	abundance
soil	7	closed	FALSE	0.535	0.9	0.1	abundance
soil	8	closed	FALSE	0.528	0.9	0.1	abundance
soil	9	closed	FALSE	0.529	0.9	0.1	abundance
soil	10	closed	FALSE	0.533	0.9	0.1	abundance
soil	11	closed	FALSE	0.53	0.9	0.1	abundance
soil	12	closed	FALSE	0.528	0.9	0.1	abundance
soil	13	closed	FALSE	0.533	0.9	0.1	abundance
soil	14	closed	FALSE	0.532	0.9	0.1	abundance
soil	15	closed	FALSE	0.533	0.9	0.1	abundance
soil	16	closed	FALSE	0.538	0.9	0.1	abundance
soil	17	closed	FALSE	0.533	0.9	0.1	abundance
soil	18	closed	FALSE	0.53	0.9	0.1	abundance
soil	19	closed	FALSE	0.53	0.9	0.1	abundance
soil	20	closed	FALSE	0.53	0.9	0.1	abundance
soil	1	closed	FALSE	0.349	0.9	0.1	distance
soil	2	closed	FALSE	0.348	0.9	0.1	distance
soil	3	closed	FALSE	0.342	0.9	0.1	distance
soil	4	closed	FALSE	0.343	0.9	0.1	distance
soil	5	closed	FALSE	0.348	0.9	0.1	distance
soil	6	closed	FALSE	0.347	0.9	0.1	distance
soil	7	closed	FALSE	0.348	0.9	0.1	distance
soil	8	closed	FALSE	0.347	0.9	0.1	distance
soil	9	closed	FALSE	0.345	0.9	0.1	distance
soil	10	closed	FALSE	0.349	0.9	0.1	distance
soil	11	closed	FALSE	0.348	0.9	0.1	distance
soil	12	closed	FALSE	0.344	0.9	0.1	distance
soil	13	closed	FALSE	0.344	0.9	0.1	distance
soil	14	closed	FALSE	0.347	0.9	0.1	distance
soil	15	closed	FALSE	0.348	0.9	0.1	distance
soil	16	closed	FALSE	0.347	0.9	0.1	distance
soil	17	closed	FALSE	0.345	0.9	0.1	distance
soil	18	closed	FALSE	0.345	0.9	0.1	distance
soil	19	closed	FALSE	0.346	0.9	0.1	distance
soil	20	closed	FALSE	0.346	0.9	0.1	distance
human	1	closed	FALSE	0.825	0.8	0.2	simple
human	2	closed	FALSE	0.825	0.8	0.2	simple
human	3	closed	FALSE	0.827	0.8	0.2	simple
human	4	closed	FALSE	0.827	0.8	0.2	simple
human	5	closed	FALSE	0.825	0.8	0.2	simple
human	6	closed	FALSE	0.825	0.8	0.2	simple
human	7	closed	FALSE	0.828	0.8	0.2	simple
human	8	closed	FALSE	0.828	0.8	0.2	simple
human	9	closed	FALSE	0.827	0.8	0.2	simple
human	10	closed	FALSE	0.825	0.8	0.2	simple
human	11	closed	FALSE	0.826	0.8	0.2	simple
human	12	closed	FALSE	0.826	0.8	0.2	simple
human	13	closed	FALSE	0.826	0.8	0.2	simple
human	14	closed	FALSE	0.825	0.8	0.2	simple
human	15	closed	FALSE	0.826	0.8	0.2	simple
human	16	closed	FALSE	0.826	0.8	0.2	simple
human	17	closed	FALSE	0.826	0.8	0.2	simple
human	18	closed	FALSE	0.825	0.8	0.2	simple
human	19	closed	FALSE	0.826	0.8	0.2	simple
human	20	closed	FALSE	0.825	0.8	0.2	simple
human	1	closed	FALSE	0.805	0.8	0.2	abundance
human	2	closed	FALSE	0.806	0.8	0.2	abundance
human	3	closed	FALSE	0.805	0.8	0.2	abundance
human	4	closed	FALSE	0.805	0.8	0.2	abundance
human	5	closed	FALSE	0.805	0.8	0.2	abundance
human	6	closed	FALSE	0.805	0.8	0.2	abundance
human	7	closed	FALSE	0.806	0.8	0.2	abundance
human	8	closed	FALSE	0.804	0.8	0.2	abundance
human	9	closed	FALSE	0.806	0.8	0.2	abundance
human	10	closed	FALSE	0.807	0.8	0.2	abundance
human	11	closed	FALSE	0.804	0.8	0.2	abundance
human	12	closed	FALSE	0.805	0.8	0.2	abundance
human	13	closed	FALSE	0.806	0.8	0.2	abundance
human	14	closed	FALSE	0.804	0.8	0.2	abundance
human	15	closed	FALSE	0.804	0.8	0.2	abundance
human	16	closed	FALSE	0.806	0.8	0.2	abundance
human	17	closed	FALSE	0.806	0.8	0.2	abundance
human	18	closed	FALSE	0.807	0.8	0.2	abundance
human	19	closed	FALSE	0.804	0.8	0.2	abundance
human	20	closed	FALSE	0.803	0.8	0.2	abundance
human	1	closed	FALSE	0.574	0.8	0.2	distance
human	2	closed	FALSE	0.575	0.8	0.2	distance
human	3	closed	FALSE	0.574	0.8	0.2	distance
human	4	closed	FALSE	0.573	0.8	0.2	distance
human	5	closed	FALSE	0.575	0.8	0.2	distance
human	6	closed	FALSE	0.573	0.8	0.2	distance
human	7	closed	FALSE	0.573	0.8	0.2	distance
human	8	closed	FALSE	0.575	0.8	0.2	distance
human	9	closed	FALSE	0.575	0.8	0.2	distance
human	10	closed	FALSE	0.577	0.8	0.2	distance
human	11	closed	FALSE	0.576	0.8	0.2	distance
human	12	closed	FALSE	0.572	0.8	0.2	distance
human	13	closed	FALSE	0.571	0.8	0.2	distance
human	14	closed	FALSE	0.572	0.8	0.2	distance
human	15	closed	FALSE	0.573	0.8	0.2	distance
human	16	closed	FALSE	0.574	0.8	0.2	distance
human	17	closed	FALSE	0.578	0.8	0.2	distance
human	18	closed	FALSE	0.571	0.8	0.2	distance
human	19	closed	FALSE	0.574	0.8	0.2	distance
human	20	closed	FALSE	0.574	0.8	0.2	distance
marine	1	closed	FALSE	0.59	0.8	0.2	simple
marine	2	closed	FALSE	0.591	0.8	0.2	simple
marine	3	closed	FALSE	0.588	0.8	0.2	simple
marine	4	closed	FALSE	0.59	0.8	0.2	simple
marine	5	closed	FALSE	0.589	0.8	0.2	simple
marine	6	closed	FALSE	0.589	0.8	0.2	simple
marine	7	closed	FALSE	0.59	0.8	0.2	simple
marine	8	closed	FALSE	0.588	0.8	0.2	simple
marine	9	closed	FALSE	0.591	0.8	0.2	simple
marine	10	closed	FALSE	0.59	0.8	0.2	simple
marine	11	closed	FALSE	0.59	0.8	0.2	simple
marine	12	closed	FALSE	0.59	0.8	0.2	simple
marine	13	closed	FALSE	0.59	0.8	0.2	simple
marine	14	closed	FALSE	0.591	0.8	0.2	simple
marine	15	closed	FALSE	0.588	0.8	0.2	simple
marine	16	closed	FALSE	0.588	0.8	0.2	simple
marine	17	closed	FALSE	0.587	0.8	0.2	simple
marine	18	closed	FALSE	0.591	0.8	0.2	simple
marine	19	closed	FALSE	0.589	0.8	0.2	simple
marine	20	closed	FALSE	0.589	0.8	0.2	simple
marine	1	closed	FALSE	0.575	0.8	0.2	abundance
marine	2	closed	FALSE	0.573	0.8	0.2	abundance
marine	3	closed	FALSE	0.576	0.8	0.2	abundance
marine	4	closed	FALSE	0.576	0.8	0.2	abundance
marine	5	closed	FALSE	0.579	0.8	0.2	abundance
marine	6	closed	FALSE	0.577	0.8	0.2	abundance
marine	7	closed	FALSE	0.575	0.8	0.2	abundance
marine	8	closed	FALSE	0.576	0.8	0.2	abundance
marine	9	closed	FALSE	0.569	0.8	0.2	abundance
marine	10	closed	FALSE	0.572	0.8	0.2	abundance
marine	11	closed	FALSE	0.576	0.8	0.2	abundance
marine	12	closed	FALSE	0.576	0.8	0.2	abundance
marine	13	closed	FALSE	0.574	0.8	0.2	abundance
marine	14	closed	FALSE	0.577	0.8	0.2	abundance
marine	15	closed	FALSE	0.575	0.8	0.2	abundance
marine	16	closed	FALSE	0.576	0.8	0.2	abundance
marine	17	closed	FALSE	0.576	0.8	0.2	abundance
marine	18	closed	FALSE	0.578	0.8	0.2	abundance
marine	19	closed	FALSE	0.575	0.8	0.2	abundance
marine	20	closed	FALSE	0.576	0.8	0.2	abundance
marine	1	closed	FALSE	0.323	0.8	0.2	distance
marine	2	closed	FALSE	0.324	0.8	0.2	distance
marine	3	closed	FALSE	0.324	0.8	0.2	distance
marine	4	closed	FALSE	0.325	0.8	0.2	distance
marine	5	closed	FALSE	0.326	0.8	0.2	distance
marine	6	closed	FALSE	0.326	0.8	0.2	distance
marine	7	closed	FALSE	0.327	0.8	0.2	distance
marine	8	closed	FALSE	0.323	0.8	0.2	distance
marine	9	closed	FALSE	0.323	0.8	0.2	distance
marine	10	closed	FALSE	0.323	0.8	0.2	distance
marine	11	closed	FALSE	0.323	0.8	0.2	distance
marine	12	closed	FALSE	0.325	0.8	0.2	distance
marine	13	closed	FALSE	0.326	0.8	0.2	distance
marine	14	closed	FALSE	0.322	0.8	0.2	distance
marine	15	closed	FALSE	0.326	0.8	0.2	distance
marine	16	closed	FALSE	0.325	0.8	0.2	distance
marine	17	closed	FALSE	0.325	0.8	0.2	distance
marine	18	closed	FALSE	0.327	0.8	0.2	distance
marine	19	closed	FALSE	0.325	0.8	0.2	distance
marine	20	closed	FALSE	0.329	0.8	0.2	distance
mouse	1	closed	FALSE	0.864	0.8	0.2	simple
mouse	2	closed	FALSE	0.869	0.8	0.2	simple
mouse	3	closed	FALSE	0.867	0.8	0.2	simple
mouse	4	closed	FALSE	0.863	0.8	0.2	simple
mouse	5	closed	FALSE	0.866	0.8	0.2	simple
mouse	6	closed	FALSE	0.862	0.8	0.2	simple
mouse	7	closed	FALSE	0.862	0.8	0.2	simple
mouse	8	closed	FALSE	0.868	0.8	0.2	simple
mouse	9	closed	FALSE	0.863	0.8	0.2	simple
mouse	10	closed	FALSE	0.864	0.8	0.2	simple
mouse	11	closed	FALSE	0.867	0.8	0.2	simple
mouse	12	closed	FALSE	0.866	0.8	0.2	simple
mouse	13	closed	FALSE	0.864	0.8	0.2	simple
mouse	14	closed	FALSE	0.862	0.8	0.2	simple
mouse	15	closed	FALSE	0.867	0.8	0.2	simple
mouse	16	closed	FALSE	0.862	0.8	0.2	simple
mouse	17	closed	FALSE	0.864	0.8	0.2	simple
mouse	18	closed	FALSE	0.865	0.8	0.2	simple
mouse	19	closed	FALSE	0.861	0.8	0.2	simple
mouse	20	closed	FALSE	0.864	0.8	0.2	simple
mouse	1	closed	FALSE	0.845	0.8	0.2	abundance
mouse	2	closed	FALSE	0.846	0.8	0.2	abundance
mouse	3	closed	FALSE	0.844	0.8	0.2	abundance
mouse	4	closed	FALSE	0.845	0.8	0.2	abundance
mouse	5	closed	FALSE	0.847	0.8	0.2	abundance
mouse	6	closed	FALSE	0.845	0.8	0.2	abundance
mouse	7	closed	FALSE	0.84	0.8	0.2	abundance
mouse	8	closed	FALSE	0.844	0.8	0.2	abundance
mouse	9	closed	FALSE	0.847	0.8	0.2	abundance
mouse	10	closed	FALSE	0.846	0.8	0.2	abundance
mouse	11	closed	FALSE	0.842	0.8	0.2	abundance
mouse	12	closed	FALSE	0.845	0.8	0.2	abundance
mouse	13	closed	FALSE	0.841	0.8	0.2	abundance
mouse	14	closed	FALSE	0.848	0.8	0.2	abundance
mouse	15	closed	FALSE	0.842	0.8	0.2	abundance
mouse	16	closed	FALSE	0.845	0.8	0.2	abundance
mouse	17	closed	FALSE	0.842	0.8	0.2	abundance
mouse	18	closed	FALSE	0.841	0.8	0.2	abundance
mouse	19	closed	FALSE	0.842	0.8	0.2	abundance
mouse	20	closed	FALSE	0.843	0.8	0.2	abundance
mouse	1	closed	FALSE	0.68	0.8	0.2	distance
mouse	2	closed	FALSE	0.675	0.8	0.2	distance
mouse	3	closed	FALSE	0.681	0.8	0.2	distance
mouse	4	closed	FALSE	0.678	0.8	0.2	distance
mouse	5	closed	FALSE	0.68	0.8	0.2	distance
mouse	6	closed	FALSE	0.685	0.8	0.2	distance
mouse	7	closed	FALSE	0.681	0.8	0.2	distance
mouse	8	closed	FALSE	0.682	0.8	0.2	distance
mouse	9	closed	FALSE	0.678	0.8	0.2	distance
mouse	10	closed	FALSE	0.685	0.8	0.2	distance
mouse	11	closed	FALSE	0.68	0.8	0.2	distance
mouse	12	closed	FALSE	0.676	0.8	0.2	distance
mouse	13	closed	FALSE	0.682	0.8	0.2	distance
mouse	14	closed	FALSE	0.676	0.8	0.2	distance
mouse	15	closed	FALSE	0.681	0.8	0.2	distance
mouse	16	closed	FALSE	0.679	0.8	0.2	distance
mouse	17	closed	FALSE	0.683	0.8	0.2	distance
mouse	18	closed	FALSE	0.686	0.8	0.2	distance
mouse	19	closed	FALSE	0.669	0.8	0.2	distance
mouse	20	closed	FALSE	0.68	0.8	0.2	distance
soil	1	closed	FALSE	0.63	0.8	0.2	simple
soil	2	closed	FALSE	0.627	0.8	0.2	simple
soil	3	closed	FALSE	0.631	0.8	0.2	simple
soil	4	closed	FALSE	0.626	0.8	0.2	simple
soil	5	closed	FALSE	0.628	0.8	0.2	simple
soil	6	closed	FALSE	0.628	0.8	0.2	simple
soil	7	closed	FALSE	0.628	0.8	0.2	simple
soil	8	closed	FALSE	0.628	0.8	0.2	simple
soil	9	closed	FALSE	0.627	0.8	0.2	simple
soil	10	closed	FALSE	0.627	0.8	0.2	simple
soil	11	closed	FALSE	0.63	0.8	0.2	simple
soil	12	closed	FALSE	0.626	0.8	0.2	simple
soil	13	closed	FALSE	0.628	0.8	0.2	simple
soil	14	closed	FALSE	0.627	0.8	0.2	simple
soil	15	closed	FALSE	0.627	0.8	0.2	simple
soil	16	closed	FALSE	0.625	0.8	0.2	simple
soil	17	closed	FALSE	0.626	0.8	0.2	simple
soil	18	closed	FALSE	0.626	0.8	0.2	simple
soil	19	closed	FALSE	0.628	0.8	0.2	simple
soil	20	closed	FALSE	0.623	0.8	0.2	simple
soil	1	closed	FALSE	0.612	0.8	0.2	abundance
soil	2	closed	FALSE	0.61	0.8	0.2	abundance
soil	3	closed	FALSE	0.61	0.8	0.2	abundance
soil	4	closed	FALSE	0.611	0.8	0.2	abundance
soil	5	closed	FALSE	0.614	0.8	0.2	abundance
soil	6	closed	FALSE	0.612	0.8	0.2	abundance
soil	7	closed	FALSE	0.614	0.8	0.2	abundance
soil	8	closed	FALSE	0.613	0.8	0.2	abundance
soil	9	closed	FALSE	0.611	0.8	0.2	abundance
soil	10	closed	FALSE	0.613	0.8	0.2	abundance
soil	11	closed	FALSE	0.613	0.8	0.2	abundance
soil	12	closed	FALSE	0.61	0.8	0.2	abundance
soil	13	closed	FALSE	0.613	0.8	0.2	abundance
soil	14	closed	FALSE	0.614	0.8	0.2	abundance
soil	15	closed	FALSE	0.613	0.8	0.2	abundance
soil	16	closed	FALSE	0.614	0.8	0.2	abundance
soil	17	closed	FALSE	0.614	0.8	0.2	abundance
soil	18	closed	FALSE	0.615	0.8	0.2	abundance
soil	19	closed	FALSE	0.615	0.8	0.2	abundance
soil	20	closed	FALSE	0.613	0.8	0.2	abundance
soil	1	closed	FALSE	0.383	0.8	0.2	distance
soil	2	closed	FALSE	0.386	0.8	0.2	distance
soil	3	closed	FALSE	0.383	0.8	0.2	distance
soil	4	closed	FALSE	0.381	0.8	0.2	distance
soil	5	closed	FALSE	0.384	0.8	0.2	distance
soil	6	closed	FALSE	0.385	0.8	0.2	distance
soil	7	closed	FALSE	0.384	0.8	0.2	distance
soil	8	closed	FALSE	0.383	0.8	0.2	distance
soil	9	closed	FALSE	0.383	0.8	0.2	distance
soil	10	closed	FALSE	0.383	0.8	0.2	distance
soil	11	closed	FALSE	0.383	0.8	0.2	distance
soil	12	closed	FALSE	0.382	0.8	0.2	distance
soil	13	closed	FALSE	0.383	0.8	0.2	distance
soil	14	closed	FALSE	0.384	0.8	0.2	distance
soil	15	closed	FALSE	0.386	0.8	0.2	distance
soil	16	closed	FALSE	0.385	0.8	0.2	distance
soil	17	closed	FALSE	0.385	0.8	0.2	distance
soil	18	closed	FALSE	0.385	0.8	0.2	distance
soil	19	closed	FALSE	0.385	0.8	0.2	distance
soil	20	closed	FALSE	0.382	0.8	0.2	distance
human	1	closed	FALSE	0.857	0.7	0.3	simple
human	2	closed	FALSE	0.857	0.7	0.3	simple
human	3	closed	FALSE	0.857	0.7	0.3	simple
human	4	closed	FALSE	0.858	0.7	0.3	simple
human	5	closed	FALSE	0.857	0.7	0.3	simple
human	6	closed	FALSE	0.858	0.7	0.3	simple
human	7	closed	FALSE	0.86	0.7	0.3	simple
human	8	closed	FALSE	0.86	0.7	0.3	simple
human	9	closed	FALSE	0.858	0.7	0.3	simple
human	10	closed	FALSE	0.858	0.7	0.3	simple
human	11	closed	FALSE	0.859	0.7	0.3	simple
